# MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE PLX_VALUE PLX_PREC PLX_ERROR PLX_QUAL PLX_BIBCODE SCRIPT_NUMBER_ID
"HD 124979" "14 18 11.9393" "-51 30 13.855" 14 14 0.039 0.039 90 A O 2018yCat.1345....0G 0.293 4 0.046799998730421066 A 2018yCat.1345....0G 36
"HD 147888" "16 25 24.2937" "-23 27 36.816" 14 14 0.287 0.209 90 A O 2018yCat.1345....0G 10.898 4 0.35589998960494995 A 2018yCat.1345....0G 37
"HD 148422" "16 30 59.8915" "-56 29 43.229" 14 14 0.040 0.034 90 A O 2018yCat.1345....0G 0.144 4 0.04659999907016754 A 2018yCat.1345....0G 38
"HD 149404" "16 36 22.5628" "-42 51 31.909" 14 14 0.148 0.125 90 A O 2018yCat.1345....0G 0.760 4 0.16509999334812164 A 2018yCat.1345....0G 39
"HD 151805" "16 51 35.7120" "-41 46 35.556" 14 14 0.055 0.038 90 A O 2018yCat.1345....0G 0.598 4 0.05339999869465828 A 2018yCat.1345....0G 40
"HD 152233" "16 54 03.5915" "-41 47 29.834" 14 14 0.049 0.040 90 A O 2018yCat.1345....0G 0.557 4 0.048900000751018524 A 2018yCat.1345....0G 41
"HD 152234" "16 54 01.8374" "-41 48 23.007" 11 11 0.530 0.370 90 A O 2007A&A...474..653V 1.260 2 0.6299999952316284 A 2007A&A...474..653V 42
"HD 152248" "16 54 10.0614" "-41 49 30.143" 14 14 0.057 0.044 90 A O 2018yCat.1345....0G 0.589 4 0.05829999968409538 A 2018yCat.1345....0G 43
"HD 152249" "16 54 11.6391" "-41 50 57.294" 14 14 0.046 0.042 90 A O 2018yCat.1345....0G 0.484 4 0.05480000004172325 A 2018yCat.1345....0G 44
"HD 152723" "16 56 54.6718" "-40 30 44.457" 14 14 0.270 0.240 90 A O 2018yCat.1345....0G 0.060 4 0.3361999988555908 A 2018yCat.1345....0G 45
"HD 157857" "17 26 17.3320" "-10 59 34.785" 14 14 0.053 0.046 90 A O 2018yCat.1345....0G 0.252 4 0.06480000168085098 A 2018yCat.1345....0G 46
"HD 160993" "17 45 17.6679" "-45 38 13.276" 14 14 0.051 0.043 90 A O 2018yCat.1345....0G 0.291 4 0.05119999870657921 A 2018yCat.1345....0G 47
"HD 163522" "17 58 35.2332" "-42 29 10.101" 14 14 0.063 0.057 90 A O 2018yCat.1345....0G 0.228 4 0.0681999996304512 A 2018yCat.1345....0G 48
"HD 164816" "18 03 56.8425" "-24 18 45.119" 14 14 0.058 0.056 90 A O 2018yCat.1345....0G 0.844 4 0.07039999961853027 A 2018yCat.1345....0G 49
"HD 164906" "18 04 25.8333" "-24 23 08.369" 14 14 0.057 0.050 90 A O 2018yCat.1345....0G 0.809 4 0.05469999834895134 A 2018yCat.1345....0G 50
"HD 165052" "18 05 10.5506" "-24 23 54.850" 14 14 0.049 0.041 90 A O 2018yCat.1345....0G 0.784 4 0.04600000008940697 A 2018yCat.1345....0G 51
"HD 167402" "18 16 18.6882" "-30 07 29.622" 14 14 0.062 0.060 90 A O 2018yCat.1345....0G 0.590 2 0.3700000047683716 A 2016A&A...595A...2G 52
"HD 167771" "18 17 28.5572" "-18 27 48.426" 14 14 0.050 0.047 90 A O 2018yCat.1345....0G 0.520 4 0.049800001084804535 A 2018yCat.1345....0G 53
"HD 168076" "18 18 36.4221" "-13 48 02.462" 14 14 0.453 0.437 90 A O 2018yCat.1345....0G "" 0 "" "" "" 54
"HD 168941" "18 23 25.5604" "-26 57 10.849" 14 14 0.063 0.064 90 A O 2018yCat.1345....0G 0.402 4 0.07919999957084656 A 2018yCat.1345....0G 55
"HD 178487" "19 09 14.8370" "-10 13 03.938" 14 14 0.054 0.047 90 A O 2018yCat.1345....0G 0.268 4 0.05050000175833702 A 2018yCat.1345....0G 56
"*  20 Aql" "19 12 40.7120" "-07 56 22.265" 14 14 0.126 0.127 90 A O 2018yCat.1345....0G 3.537 4 0.1720000058412552 A 2018yCat.1345....0G 57
"HD 179407" "19 12 53.0016" "-12 34 58.327" 14 14 0.041 0.040 90 A O 2018yCat.1345....0G 0.294 4 0.0478999987244606 A 2018yCat.1345....0G 58
"HD 185418" "19 38 27.4810" "+17 15 26.046" 14 14 0.023 0.028 90 A O 2018yCat.1345....0G 1.325 4 0.03700000047683716 A 2018yCat.1345....0G 59
"*   9 Sge" "19 52 21.7651" "+18 40 18.753" 14 14 0.031 0.033 90 A O 2018yCat.1345....0G 0.534 4 0.04809999838471413 A 2018yCat.1345....0G 60
"HD 190603" "20 04 36.1744" "+32 13 06.952" 14 14 0.065 0.078 90 A O 2018yCat.1345....0G 0.339 4 0.09279999881982803 A 2018yCat.1345....0G 61
"HD 192639" "20 14 30.4275" "+37 21 13.815" 14 14 0.023 0.032 90 A O 2018yCat.1345....0G 0.385 4 0.03359999880194664 A 2018yCat.1345....0G 62
"V* V379 Cep" "20 43 13.6841" "+57 06 50.370" 14 14 0.023 0.030 90 A O 2018yCat.1345....0G 1.121 4 0.02669999934732914 A 2018yCat.1345....0G 63
"HD 198781" "20 49 17.3908" "+64 02 32.125" 14 14 0.042 0.047 90 A O 2018yCat.1345....0G 1.069 4 0.050200000405311584 A 2018yCat.1345....0G 64
"HD 199579" "20 56 34.7781" "+44 55 29.000" 14 14 0.044 0.061 90 A O 2018yCat.1345....0G 1.063 4 0.05889999866485596 A 2018yCat.1345....0G 65
"HD 200775" "21 01 36.9184" "+68 09 47.770" 14 14 0.039 0.044 90 A O 2018yCat.1345....0G 2.771 4 0.04450000077486038 A 2018yCat.1345....0G 66
"HD 203938" "21 23 50.1752" "+47 09 52.380" 9 9 5.530 4.660 89 A O 2007A&A...474..653V 0.960 2 0.550000011920929 A 2007A&A...474..653V 67
"HD 206267" "21 38 57.6182" "+57 29 20.557" 14 14 0.209 0.222 90 A O 2018yCat.1345....0G 0.895 4 0.23559999465942383 A 2018yCat.1345....0G 68
"HD 206773" "21 42 24.1855" "+57 44 09.791" 14 14 0.023 0.026 90 A O 2018yCat.1345....0G 1.044 4 0.02710000053048134 A 2018yCat.1345....0G 69
"HD 207198" "21 44 53.2790" "+62 27 38.042" 14 14 0.047 0.044 90 A O 2018yCat.1345....0G 0.976 4 0.05339999869465828 A 2018yCat.1345....0G 70
"HD 209339" "22 00 39.2641" "+62 29 16.064" 14 14 0.024 0.033 90 A O 2018yCat.1345....0G 1.184 4 0.030300000682473183 A 2018yCat.1345....0G 71
"HD 216898" "22 55 42.4581" "+62 18 22.820" 14 14 0.030 0.033 90 A O 2018yCat.1345....0G 1.191 4 0.03290000185370445 A 2018yCat.1345....0G 72
"HD 239729" "21 39 27.4061" "+57 29 00.804" 14 14 0.033 0.037 90 A O 2018yCat.1345....0G 1.047 4 0.03840000182390213 A 2018yCat.1345....0G 73
"HD 326329" "16 54 14.1033" "-41 50 08.508" 14 14 0.046 0.039 90 A O 2018yCat.1345....0G 0.684 4 0.05050000175833702 A 2018yCat.1345....0G 74
"V* V1818 Cyg" "19 41 19.8539" "+29 08 39.995" 14 14 0.028 0.032 90 A O 2018yCat.1345....0G 0.349 4 0.04019999876618385 A 2018yCat.1345....0G 75
