name lognj0 lognj0_unc lognj1 lognj1_unc lognj2 lognj2_unc lognj3 lognj3_unc lognj4 lognj4_unc lognj5 lognj5_unc lognj6 lognj6_unc lognj7 lognj7_unc
HD178487       20.24   0.10   20.15   0.15   18.21   0.08   17.83   0.13  15.67   0.10   14.85   0.11
HD179406       20.46   0.08   20.25   0.08   18.10   0.15   17.05   0.30  15.20   0.10   14.45   0.10
HD179407       20.03   0.10   19.99   0.10   17.80   0.32   17.01   0.66  15.37   0.21   14.78   0.10
HD185418       20.29   0.09   20.48   0.09   18.32   0.05   17.34   0.13  15.35   0.08   14.53   0.50
HD188001       19.77   0.10   19.97   0.10   17.89   0.18   16.89   0.70  15.24   0.54   14.78   0.30
HD190603       20.35   0.10   20.40   0.10   18.40   0.10   17.58   0.12  15.88   0.10   15.41   0.10
HD192639       20.33   0.10   20.45   0.10   18.41   0.09   17.51   0.17  15.77   0.07   15.24   0.07   14.44   0.17
HD197770       20.60   0.20   20.59   0.10   18.44   0.10   17.58   0.17  16.20   0.71   15.15   0.60
HD198781       20.23   0.09   20.11   0.09   17.55   0.73   16.30   1.40  14.90   0.11   14.35   0.14
HD199579       20.25   0.10   20.20   0.15   18.45   0.15   17.10   0.10  15.95   0.05   15.55   0.05   14.30   0.05   14.35   0.05
HD200775       20.80   0.10   20.60   0.20   19.50   0.15   18.00   0.30  17.05   0.15   15.50   1.30   14.90   1.20
HD203938       20.75   0.09   20.65   0.09   19.10   0.10   17.71   0.20  16.16   0.35   15.46   0.13
HD206267       20.62   0.06   20.35   0.09   17.94   0.21   16.76   0.58  15.26   0.15   14.92   0.08
HD206773       20.00   0.15   20.20   0.10   18.20   0.08   17.40   0.18  15.40   0.06   14.75   0.05
HD207198       20.60   0.10   20.45   0.10   18.40   0.10   17.00   0.15  15.70   0.10   14.90   0.05
HD209339       19.85   0.10   20.00   0.10   18.00   0.18   17.08   0.24  15.31   0.10   14.70   0.05
HD210121       20.63   0.15   20.13   0.15   18.71   0.30   18.10   0.30  16.50   0.90   14.80   0.75
HD210839       20.50   0.10   20.40   0.10   18.40   0.05   17.20   0.15  16.20   0.10   15.70   0.10   14.50   0.05   14.20   0.05
HD216898       20.60   0.10   20.80   0.10   18.82   0.14   17.60   0.34  15.97   0.10   15.36   0.15
HD220057       20.05   0.10   19.90   0.10   17.70   0.10   16.10   0.20  14.85   0.10   14.35   0.15
HD239683       20.42   0.30   20.48   0.25   18.69   0.25   17.75   0.25  15.66   0.25   14.88   0.25
HD239729       20.92   0.15   20.52   0.15   18.72   0.25   17.74   0.30  15.36   1.00
HD303308       15.00   0.50   15.00   0.50   15.00   0.50   14.40   0.50  13.60   0.50   13.30   0.50   13.00   0.50   12.00   0.50
idem               16.80   0.50   17.00   0.50   15.80   0.50   15.50   0.50  16.00   0.50   15.40   0.50   15.40   0.50   15.00   0.50
idem               19.20   0.25   19.35   0.25   17.50   0.50   16.80   0.50  16.00   0.50   15.90   0.50   15.50   0.25   15.60   0.50
idem               19.25   0.25   19.50   0.25   17.40   0.50   16.30   0.50  16.00   0.50   15.90   0.25   14.80   0.25   14.70   0.25
idem               19.35   0.25   19.60   0.25   17.20   0.50   15.60   0.50  16.00   0.50   15.30   0.25   14.80   0.50   14.60   0.50
idem              17.00   0.50   16.00   0.50   14.50   0.50   14.50   0.50  13.50   0.50   13.70   0.50   13.00   0.00   13.00   0.50
HD315021       19.55   0.15   19.75   0.15   17.60   0.20   16.10   0.50  14.45   0.10   14.00   0.15
idem               18.60   0.20   18.65   0.20   15.25   0.20   14.90   0.10  13.72   0.20   13.80   0.10
HD326329       19.98   0.06   19.96   0.06   18.20   0.25   17.70   0.35  15.70   0.10   15.15   0.12   13.70   0.60
HD332407       20.04   0.10   20.15   0.10   17.76   0.25   16.87   0.35  15.61   0.06   15.16   0.07
BD+32 270      18.28   0.08   18.47   0.05   16.48   0.57   15.82   0.20  14.60   0.10   13.73   0.10
BD+52 3210     19.40   0.09   19.71   0.09   16.75   0.25   16.75   0.25  15.65   0.10   15.30   0.10
HD037332       15.50   0.25   15.08   0.25   14.58   0.25   14.30   0.25
HD037525       15.40   1.40   16.10   1.20   15.20   1.65   14.90   2.80
HD051013       13.40   0.15   14.04   0.15   13.60   0.15   13.90   0.15
HD075309       19.74   0.09   19.87   0.09   17.63   0.12   17.14   0.26  15.18   0.12   14.76   0.07
HD091824       19.51   0.09   19.36   0.09   17.80   0.11   17.41   0.18  15.25   0.05   14.72   0.05
HD091983       19.97   0.12   19.72   0.09   17.36   0.50   16.42   0.45  15.00   0.20   14.67   0.15
HD093028       19.10   0.12   19.26   0.12   17.77   0.09   17.52   0.13  14.92   0.11   14.49   0.05
HD094493       19.85   0.12   19.80   0.09   18.04   0.14   17.45   0.26  15.15   0.07   14.66   0.05
HD097471       19.65   0.10   19.50   0.10   17.58   0.34   17.14   0.43  15.41   0.11   14.85   0.05
HD100276       19.27   0.15   19.26   0.10   17.56   0.60   16.73   0.60  15.23   0.40   14.57   0.10
idem               19.07   0.10   19.27   0.10   16.23   0.15   15.72   0.60  14.65   0.25   14.17   0.10
HD104705       19.64   0.10   19.66   0.15   15.95   0.20   15.85   0.20  15.00   0.20   14.38   0.10
idem               16.48   1.00   16.10   1.00   15.95   0.20   15.27   0.20  14.10   0.30   14.00   0.20
HD114444       18.20   0.25   18.10   0.25   16.00   0.35   15.50   0.50  14.30   0.20
idem               19.40   0.15   19.60   0.15   16.10   0.35   15.60   0.50  14.50   0.10
HD116852       19.54   0.10   19.45   0.10   17.61   0.05   17.37   0.06  14.97   0.05   14.11   0.05
HD172140       19.00   0.15   18.80   0.20   16.23   0.10   15.82   0.10  14.44   0.10   14.01   0.10
HD210809       18.15   0.75   18.50   0.50   15.40   0.20   16.00   0.40  14.60   0.20   14.15   0.15
idem               19.00   0.35   19.45   0.20   15.25   0.30   14.70   0.30  15.70   0.15   15.05   0.10
idem               19.40   0.35   18.65   0.35   17.25   1.00   17.35   0.50  14.15   0.15   13.70   0.25
idem               18.10   0.75   19.00   0.35   15.30   0.20   15.00   0.20  14.75   0.10   14.40   0.10
HD235874       19.20   0.10   19.45   0.10   17.70   0.25   17.40   0.25  15.72   0.25   15.20   0.25
