# Name dist solution_id designation source_id random_index ref_epoch ra ra_error dec dec_error parallax parallax_error parallax_over_error pmra pmra_error pmdec pmdec_error ra_dec_corr ra_parallax_corr ra_pmra_corr ra_pmdec_corr dec_parallax_corr dec_pmra_corr dec_pmdec_corr parallax_pmra_corr parallax_pmdec_corr pmra_pmdec_corr astrometric_n_obs_al astrometric_n_obs_ac astrometric_n_good_obs_al astrometric_n_bad_obs_al astrometric_gof_al astrometric_chi2_al astrometric_excess_noise astrometric_excess_noise_sig astrometric_params_solved astrometric_primary_flag astrometric_weight_al astrometric_pseudo_colour astrometric_pseudo_colour_error mean_varpi_factor_al astrometric_matched_observations visibility_periods_used astrometric_sigma5d_max frame_rotator_object_type matched_observations duplicated_source phot_g_n_obs phot_g_mean_flux phot_g_mean_flux_error phot_g_mean_flux_over_error phot_g_mean_mag phot_bp_n_obs phot_bp_mean_flux phot_bp_mean_flux_error phot_bp_mean_flux_over_error phot_bp_mean_mag phot_rp_n_obs phot_rp_mean_flux phot_rp_mean_flux_error phot_rp_mean_flux_over_error phot_rp_mean_mag phot_bp_rp_excess_factor phot_proc_mode bp_rp bp_g g_rp radial_velocity radial_velocity_error rv_nb_transits rv_template_teff rv_template_logg rv_template_fe_h phot_variable_flag l b ecl_lon ecl_lat priam_flags teff_val teff_percentile_lower teff_percentile_upper a_g_val a_g_percentile_lower a_g_percentile_upper e_bp_min_rp_val e_bp_min_rp_percentile_lower e_bp_min_rp_percentile_upper flame_flags radius_val radius_percentile_lower radius_percentile_upper lum_val lum_percentile_lower lum_percentile_upper datalink_url
BD+35d4258 3.655534551929454e-05 1635721458409799680 "Gaia DR2 1870290998515818624" 1870290998515818624 710615773 2015.5 311.5527156709156 0.03380700507140237 35.54041277960628 0.04242347211275152 0.5001865575677598 0.05333108547622654 9.37889289855957 -3.2591815624441285 0.07155190707743271 -3.9645376363762206 0.08639975985095305 -0.2344236522912979 0.016227666288614273 -0.18808579444885254 0.009689008817076683 0.11655934154987335 -0.0175273809581995 -0.2507763206958771 -0.22500379383563995 0.004172925371676683 -0.2325393259525299 257 257 252 5 24.29092025756836 1273.8031005859375 0.17654814109063957 13.245238385232541 31 False 26.14898109436035 1.7725132380667934 0.011506508162473091 -0.004716377705335617 31 15 0.053982287645339966 0 33 False 277 3319848.3293472836 2040.177092038588 1627.2353515625 9.385570526123047 33 2409653.3028129176 3710.805604715139 649.3612060546875 9.396501541137695 32 1446912.8824722436 3207.480166045561 451.1058044433594 9.360814094543457 1.161669373512268 0 0.03568744659423828 0.010931015014648438 0.024756431579589844 "" "" 0 "" "" "" NOT_AVAILABLE 77.18740403135746 -4.74058183718376 328.7542439161621 50.853187265913995 100001 9393.75 8837.0 9742.0 0.5479999780654907 0.320499986410141 0.6560999751091003 0.27630001306533813 0.1753000020980835 0.33009999990463257 "" "" "" "" "" "" "" https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1870290998515818624
BD+53d2820 2.6608365735725298e-05 1635721458409799680 "Gaia DR2 2005418950349782272" 2005418950349782272 1603149859 2015.5 333.45705640582435 0.03624106258084739 54.409736811633145 0.03161903852383622 0.2841090438466795 0.040159619286448976 7.074495315551758 -2.7891346771878407 0.07483386796095953 -3.325211937250849 0.062222602755561955 -0.040543682873249054 0.22832991182804108 -0.3082837760448456 -0.15445470809936523 0.16655293107032776 -0.16803255677223206 -0.03380720317363739 0.08970233052968979 -0.06506127119064331 -0.1827525645494461 195 195 186 9 14.185308456420898 605.7755126953125 0.06763183858459573 1.5709243126580308 31 False 101.2019271850586 1.7474441042049664 0.009457154186878841 0.007583742029964924 22 15 0.049989573657512665 0 42 False 310 2037695.448662166 1114.501978031069 1828.34619140625 9.915517807006836 38 1433347.5363457766 1614.6161689045293 887.732666015625 9.960509300231934 41 951465.0424857155 862.4732267923422 1103.18212890625 9.815937995910645 1.1703479290008545 0 0.14457130432128906 0.044991493225097656 0.0995798110961914 "" "" 0 "" "" "" NOT_AVAILABLE 101.24204530713314 -1.6861687668132346 9.25749471415095 58.16234937757402 100001 9137.5 8821.3330078125 9351.25 0.5249999761581421 0.31850001215934753 0.7279999852180481 0.2524999976158142 0.1550000011920929 0.36309999227523804 "" "" "" "" "" "" "" https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2005418950349782272
BD+56d524 1.1524877875567326e-05 1635721458409799680 "Gaia DR2 458374719617277184" 458374719617277184 229167588 2015.5 34.776782579752755 0.02329855115575505 57.126077407852385 0.03675736138184462 0.4257859793327811 0.04254982828522001 10.00676155090332 -0.547107637244838 0.06949100247401514 -1.3079102696009324 0.1005679159750847 0.33163294196128845 0.13617058098316193 -0.025292517617344856 -0.11240371316671371 -0.03772283345460892 -0.13474351167678833 -0.14481225609779358 0.28411224484443665 0.09955967962741852 0.31757158041000366 263 263 247 16 11.837162017822266 605.7689819335938 0.0 0.0 31 False 301.7161560058594 1.674243183890773 0.006100809163379203 0.04504096135497093 30 13 0.06598103791475296 0 34 True 266 2433657.707104618 1274.1636453943877 1910.0040283203125 9.72271728515625 32 1485625.719818203 1408.4622929004481 1054.7855224609375 9.921614646911621 30 1390867.3676245906 1094.0170285182696 1271.3397216796875 9.403705596923828 1.1819628477096558 0 0.517909049987793 0.1988973617553711 0.3190116882324219 "" "" 0 "" "" "" NOT_AVAILABLE 134.646645037 -3.738205540856052 54.19823921489602 40.34674944100926 100001 6918.04052734375 6802.60986328125 7074.0 1.1549999713897705 0.7594000101089478 1.5199999809265137 0.5799999833106995 0.35929998755455017 0.7889999747276306 200111 15.880298614501953 15.187796592712402 16.423803329467773 520.4085693359375 445.738525390625 595.07861328125 https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+458374719617277184
HD001383 2.1711265379438015e-05 1635721458409799680 "Gaia DR2 429709420686842624" 429709420686842624 286001946 2015.5 4.573878422135321 0.028133687684909845 61.72705067136405 0.023731046609671045 0.2994098938835098 0.03174109145850851 9.432879447937012 -2.7920057536382457 0.05233233014122448 -1.4987509538925692 0.04191709263509043 -0.05579225718975067 0.13556654751300812 -0.5776426196098328 0.04810267686843872 0.054475001990795135 -0.008905964903533459 -0.3041045367717743 -0.11888040602207184 0.26995235681533813 -0.11706692725419998 337 337 333 4 16.650602340698242 964.6241455078125 0.0 0.4010075309148061 31 True 89.57203674316406 1.716949661528959 0.0069037724793216725 -0.014732031151652336 38 18 0.03924420103430748 0 49 False 371 17806246.9885764 6033.210644450243 2951.37158203125 7.561934947967529 41 11379067.002208477 13583.59155199566 837.706787109375 7.711121559143066 36 9493731.009365946 10811.19622825784 878.1387939453125 7.318327903747559 1.1722177267074585 0 0.3927936553955078 0.1491866111755371 0.2436070442199707 "" "" 0 "" "" "" NOT_AVAILABLE 119.01740415611185 -0.892543038188248 39.19205913950164 52.46697510044328 100001 7471.93017578125 7338.509765625 7602.0 0.5687000155448914 0.17489999532699585 1.042099952697754 0.32600000500679016 0.14990000426769257 0.5730999708175659 200111 52.79521179199219 51.00402069091797 54.73238754272461 7827.35498046875 6522.3779296875 9132.33203125 https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+429709420686842624
HD013268 1.1912754042163135e-05 1635721458409799680 "Gaia DR2 456993526850282240" 456993526850282240 1472467157 2015.5 32.87375331970559 0.02749840689281315 56.15879987453972 0.03653322869330672 0.5906431610196322 0.04662732347973509 12.667318344116211 0.3099170019403865 0.09063878945847507 -2.4570059352205758 0.09110982190402586 0.3391595780849457 0.1100064218044281 0.2667442858219147 -0.10183047503232956 0.08285577595233917 -0.13343718647956848 0.027008160948753357 0.18288388848304749 0.18426334857940674 0.21701842546463013 316 316 309 7 12.380226135253906 721.6610107421875 0.0 0.0 31 False 101.3843002319336 1.746395941811922 0.006190503919563745 -0.05192818492650986 36 14 0.061769336462020874 0 41 True 334 10719433.877309572 5179.632347146213 2069.53564453125 8.112936019897461 35 7376006.381621432 10892.090698703052 677.189208984375 8.181835174560547 37 5103447.812033752 8469.854214531413 602.5426025390625 7.992260932922363 1.1641896963119507 1 0.1895742416381836 0.06889915466308594 0.12067508697509766 "" "" 0 "" "" "" NOT_AVAILABLE 133.96197022499695 -4.98891081286644 52.41720196380578 39.926753173142835 100002 8557.0 7528.8173828125 9232.3330078125 0.5647000074386597 0.3939000070095062 0.791100025177002 0.2750000059604645 0.1704999953508377 0.4050999879837036 "" "" "" "" "" "" "" https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+456993526850282240
HD014250 1.0090993184252732e-05 1635721458409799680 "Gaia DR2 458363346543872000" 458363346543872000 1458227591 2015.5 35.06550985006528 0.040220879847374026 57.09860270797092 0.06333284805654496 0.8032268092316891 0.07418026278635394 10.828039169311523 -0.019642767197222355 0.11889768233610395 -1.5304128059213848 0.17369540943675255 0.3959735631942749 0.172552689909935 0.05360882356762886 -0.02295253984630108 -0.02129858359694481 0.0024459953419864178 -0.07325296103954315 0.252369225025177 -0.15656748414039612 0.3382472097873688 245 245 238 7 23.974138259887695 1226.2506103515625 0.1992398217411381 14.028081857648505 31 False 19.951396942138672 1.6900979876608566 0.010449906134239458 0.04385623708367348 28 12 0.09997048228979111 0 29 True 251 5199101.4338942235 5787.866123616552 898.2760620117188 8.898545265197754 27 3224264.2943455777 9103.342149259093 354.1846618652344 9.08031177520752 28 2909066.147432972 9975.753491710047 291.6136779785156 8.60253620147705 1.1796904802322388 0 0.47777557373046875 0.18176651000976562 0.2960090637207031 "" "" 0 "" "" "" NOT_AVAILABLE 134.80389957763407 -3.7115738758590133 54.36865327147208 40.2548677748445 100001 7205.0 7003.0 7384.0 "" "" "" "" "" "" 200111 11.378557205200195 10.833574295043945 12.044447898864746 314.3438720703125 277.76123046875 350.926513671875 https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+458363346543872000
HD014434 1.570632404174624e-05 1635721458409799680 "Gaia DR2 458310054588240384" 458310054588240384 344342055 2015.5 35.46838127201306 0.02756596211313567 56.90499567366242 0.037410401428236734 0.391182441568164 0.04727187303844986 8.275162696838379 -0.3727244372653974 0.08898655842210085 -3.1259641588922995 0.10635123418579645 0.36678558588027954 0.20207500457763672 0.19444136321544647 0.015345369465649128 -0.1277380734682083 -0.0398515947163105 -0.03154647350311279 0.2439228594303131 0.021531948819756508 0.45488354563713074 273 273 269 4 12.00490665435791 645.873779296875 0.0 0.0 31 False 168.10879516601562 1.738427274990351 0.006904164983164033 -0.006582466885447502 31 13 0.0729491338133812 0 33 True 279 7992950.017303737 4103.632289463408 1947.7744140625 8.431597709655762 31 5369119.204172845 6064.271373223754 885.3692016601562 8.526630401611328 32 4000720.4622412412 5147.700230708615 777.1859741210938 8.256574630737305 1.1722630262374878 0 0.27005577087402344 0.0950326919555664 0.17502307891845703 "" "" 0 "" "" "" NOT_AVAILABLE 135.07665057534032 -3.819050256654614 54.52088361277316 39.9864045959363 100001 8408.3330078125 8170.5 8676.3330078125 0.8256999850273132 0.5630000233650208 0.9319999814033508 0.38749998807907104 0.28299999237060547 0.46799999475479126 "" "" "" "" "" "" "" https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+458310054588240384
HD015558 1.1035402656489772e-05 1635721458409799680 "Gaia DR2 465528726379402112" 465528726379402112 510287181 2015.5 38.177232163158585 0.06325738476232688 61.455988867229784 0.07100215546130509 0.4654854963310318 0.08551366417111467 5.443404674530029 -0.4413481390346281 0.09651462197000966 -1.487824468860857 0.150428295739798 -0.08989317715167999 0.0006527685909532011 -0.7225350737571716 0.15787971019744873 -0.002443430945277214 0.14167942106723785 -0.389348566532135 -0.005070723593235016 0.127223402261734 0.010042652487754822 383 383 378 5 43.84675598144531 3306.656982421875 0.33403713703743615 39.395666497691515 31 True 7.223352432250977 1.6063992154220654 0.01388914495951511 -0.07034072279930115 44 15 0.08380275964736938 0 51 True 416 14683430.099819612 4483.444984132363 3275.032958984375 7.771296977996826 46 8038458.196666132 7497.332896217464 1072.1756591796875 8.088456153869629 42 9631244.634367 13506.265918981393 713.0945434570312 7.302713871002197 1.2033770084381104 0 0.7857422828674316 0.31715917587280273 0.4685831069946289 "" "" 0 "" "" "" NOT_AVAILABLE 134.72433330531294 0.9247714662888288 58.806979555946704 43.509920081718974 100001 5858.25 5819.33349609375 5935.5 1.2640000581741333 0.9229000210762024 1.6663999557495117 0.6496999859809875 0.4620000123977661 0.8052999973297119 200111 50.10531234741211 48.809566497802734 50.777706146240234 2663.997802734375 2061.92724609375 3266.068359375 https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726379402112
HD017505 9.848047475987434e-06 1635721458409799680 "Gaia DR2 464668186732616448" 464668186732616448 1426483425 2015.5 42.78322617107757 0.025220150406842005 60.41774051725001 0.028899259587819373 0.3606072836350631 0.0333495672052388 10.812952041625977 -0.5089908101743743 0.03635521248057747 -0.763953113493434 0.06472461895939674 -0.12881116569042206 0.21584279835224152 -0.7639960050582886 0.20930668711662292 -0.14146074652671814 0.21561937034130096 -0.33369919657707214 -0.2339637279510498 0.08033907413482666 0.13161203265190125 528 528 523 5 12.137775421142578 1014.0820922851562 0.0 0.0 31 True 115.86990356445312 1.650478040049176 0.0054080888282724325 -0.029037492349743843 60 15 0.044970374554395676 0 76 False 571 24555886.595564675 4967.218694290186 4943.5888671875 7.212976455688477 59 14761648.08307242 15352.716063486327 961.500732421875 7.428551197052002 63 15218717.852647118 72712.10204612605 209.301025390625 6.805974960327148 1.2209033966064453 0 0.6225762367248535 0.2155747413635254 0.4070014953613281 "" "" 0 "" "" "" NOT_AVAILABLE 137.19045451891742 0.9026729459530025 60.99734615160734 41.64440063980084 100001 6628.41259765625 6457.41259765625 6959.75 "" "" "" "" "" "" 200111 64.80465698242188 58.78114318847656 68.28231048583984 7303.740234375 6258.6640625 8348.81640625 https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+464668186732616448
HD023060 1.696578510360956e-05 1635721458409799680 "Gaia DR2 218186060921635584" 218186060921635584 1615861060 2015.5 55.85006084100405 0.04701020643526485 34.11623074770241 0.025623901772162953 1.848418457364612 0.05175320270183937 35.71602249145508 4.101259218824808 0.11529923859569338 -4.010242623934259 0.07114130678665731 0.5995681285858154 0.07904096692800522 -0.47519317269325256 0.05707290768623352 0.241013303399086 -0.09087839722633362 0.05135959014296532 0.07998212426900864 0.023281536996364594 0.4078904092311859 526 526 511 15 28.395793914794922 2051.804443359375 0.12823193133251418 8.853436273671221 31 True 33.85087585449219 1.7334000228022781 0.0070690061356371535 0.025983022525906563 60 12 0.07330106198787689 0 69 True 552 19542983.069255646 5178.807816212164 3773.645263671875 7.460888385772705 61 13476689.979271349 9588.889024937947 1405.448486328125 7.527430057525635 62 9207110.785948446 9905.184000805915 929.5244750976562 7.351611614227295 1.1607133150100708 0 0.17581844329833984 0.06654167175292969 0.10927677154541016 "" "" 0 "" "" "" NOT_AVAILABLE 158.99161020332022 -16.45195293614403 61.38020345523919 14.007887758472002 100001 8527.033203125 7494.3173828125 9098.0 0.7418000102043152 0.534600019454956 0.8780999779701233 0.3869999945163727 0.25699999928474426 0.4499000012874603 "" "" "" "" "" "" "" https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+218186060921635584
